!---------------------------------------------------------------------
!	Œruba sto¿kowa z gniazdem imbusowym
!
!	Sruba stozkowa z gniazdem imbusowym
!	Zylinderschraube mit Innensechkant
!---------------------------------------------------------------------
			
SCREWTYPE	1
UNIT	MM

SURFACE	1
AXIS	43
CBSCR	ISO_10642
INFO	Œruba sto¿kowa

SYMBOL	STRING	DN	LG	B	S	DK	K	DG	P	
INSTANCE	STRING	DN	LG	B	S	DK	K	DG	P	

SSIM22x50	M22	22	50	50	17	30	22	17.5	2.5
SSIM22x60	M22	22	60	52	17	30	22	17.5	2.5
SSIM22x70	M22	22	70	52	17	30	22	17.5	2.5
SSIM22x80	M22	22	80	52	17	30	22	17.5	2.5
SSIM22x90	M22	22	90	52	17	30	22	17.5	2.5
SSIM22x100	M22	22	100	52	17	30	22	17.5	2.5

SSIM24x50	M24	24	50	50	19	36	24	21	3
SSIM24x60	M24	24	60	60	19	36	24	21	3
SSIM24x70	M24	24	70	60	19	36	24	21	3
SSIM24x80	M24	24	80	60	19	36	24	21	3
SSIM24x90	M24	24	90	60	19	36	24	21	3
SSIM24x100	M24	24	100	60	19	36	24	21	3

												

												

