BEGIN_GUI_DESCR				

GLOBAL_PICTURE	profil_prostokatny_axbxs_lxxx_tab.gif			

SHOW_PARAM	DOUBLE	B
SHOW_PARAM	DOUBLE	H		
SHOW_PARAM	DOUBLE	T		

END_GUI_DESCR				

BEGIN_TAB_DESCR				

BEGIN_TABLE	TYPE	TYPE		
SEL_STRING	BUW_TYPE	BUW_NAME	IMPORT_TYPE	SIZE_SUBTABLE
STRING	STRING	STRING	STRING	SUBTABLE
DIN 2395	DIN 2395	SQUARE_PIPE	DIN_2395	SIZE_DIN_2395

END_TABLE				

BEGIN_SUBTABLE	SIZE_DIN_2395	SIZE		
SEL_STRING	BUW_SIZE	B	H	T
STRING	STRING	DOUBLE	DOUBLE	DOUBLE
50x40x2.00	50x40x2.00	50	40	2
50x40x2.50	50x40x2.50	50	40	2.5
50x40x3.00	50x40x3.00	50	40	3
50x40x4.00	50x40x4.00	50	40	4
60x15x1.50	60x15x1.50	60	15	1.5
60x15x2.00	60x15x2.00	60	15	2
60x15x2.50	60x15x2.50	60	15	2.5
60x15x3.00	60x15x3.00	60	15	3
60x20x1.50	60x20x1.50	60	20	1.5
60x20x2.00	60x20x2.00	60	20	2
60x20x2.50	60x20x2.50	60	20	2.5
60x20x3.00	60x20x3.00	60	20	3
60x25x1.50	60x25x1.50	60	25	1.5
60x25x2.00	60x25x2.00	60	25	2
60x25x2.50	60x25x2.50	60	25	2.5
60x30x1.50	60x30x1.50	60	30	1.5
60x30x2.00	60x30x2.00	60	30	2
60x30x2.50	60x30x2.50	60	30	2.5
60x30x3.00	60x30x3.00	60	30	3
60x35x1.50	60x35x1.50	60	35	1.5
60x35x2.00	60x35x2.00	60	35	2
60x35x2.50	60x35x2.50	60	35	2.5
60x35x3.00	60x35x3.00	60	35	3
60x40x1.50	60x40x1.50	60	40	1.5
60x40x2.00	60x40x2.00	60	40	2
60x40x2.50	60x40x2.50	60	40	2.5
60x40x3.00	60x40x3.00	60	40	3
60x40x4.00	60x40x4.00	60	40	4
65x15x1.50	65x15x1.50	65	25	1.5
65x15x2.00	65x15x2.00	65	25	2
65x15x2.50	65x15x2.50	65	25	2.5
65x15x3.00	65x15x3.00	65	25	3
70x20x1.50	70x20x1.50	70	20	1.5
70x20x2.00	70x20x2.00	70	20	2
70x20x2.50	70x20x2.50	70	20	2.5
70x20x3.00	70x20x3.00	70	20	3
70x25x1.50	70x25x1.50	70	25	1.5
70x25x2.00	70x25x2.00	70	25	2
70x25x2.50	70x25x2.50	70	25	2.5
70x25x3.00	70x25x3.00	70	25	3
70x30x1.50	70x30x1.50	70	30	1.5
70x30x2.00	70x30x2.00	70	30	2
70x30x2.50	70x30x2.50	70	30	2.5
70x30x3.00	70x30x3.00	70	30	3
70x35x1.50	70x35x1.50	70	35	1.5
70x35x2.00	70x35x2.00	70	35	2
70x35x2.50	70x35x2.50	70	35	2.5
70x35x3.00	70x35x3.00	70	35	3
70x50x2.00	70x50x2.00	70	50	2
70x50x2.50	70x50x2.50	70	50	2.5
70x50x3.00	70x50x3.00	70	50	3
70x50x4.00	70x50x4.00	70	50	4
70x50x5.00	70x50x5.00	70	50	5
70x60x2.00	70x60x2.00	70	60	2
70x60x2.50	70x60x2.50	70	60	2.5
70x60x3.00	70x60x3.00	70	60	3
70x60x4.00	70x60x4.00	70	60	4
80x40x2.00	80x40x2.00	80	40	2
80x40x2.50	80x40x2.50	80	40	2.5
80x40x3.00	80x40x3.00	80	40	3
80x40x4.00	80x40x4.00	80	40	4
80x50x2.00	80x50x2.00	80	50	2
80x50x2.50	80x50x2.50	80	50	2.5
80x50x3.00	80x50x3.00	80	50	3
80x50x4.00	80x50x4.00	80	50	4
80x60x2.00	80x60x2.00	80	60	2
80x60x2.50	80x60x2.50	80	60	2.5
80x60x3.00	80x60x3.00	80	60	3
80x60x4.00	80x60x4.00	80	60	4
80x60x5.00	80x60x5.00	80	60	5
80x70x2.00	80x70x2.00	80	70	2
80x70x2.50	80x70x2.50	80	70	2.5
80x70x3.00	80x70x3.00	80	70	3
80x70x4.00	80x70x4.00	80	70	4
90x50x2.00	90x50x2.00	90	50	2
90x50x2.50	90x50x2.50	90	50	2.5
90x50x3.00	90x50x3.00	90	50	3
90x50x4.00	90x50x4.00	90	50	4
90x50x5.00	90x50x5.00	90	50	5
100x40x2.00	100x40x2.00	100	40	2
100x40x2.50	100x40x2.50	100	40	2.5
100x40x3.00	100x40x3.00	100	40	3
100x40x4.00	100x40x4.00	100	40	4
100x50x2.00	100x50x2.00	100	50	2
100x50x2.50	100x50x2.50	100	50	2.5
100x50x3.00	100x50x3.00	100	50	3
100x50x4.00	100x50x4.00	100	50	4
100x60x2.00	100x60x2.00	100	60	2
100x60x2.50	100x60x2.50	100	60	2.5
100x60x3.00	100x60x3.00	100	60	3
100x60x4.00	100x60x4.00	100	60	4
100x60x5.00	100x60x5.00	100	60	5
100x80x2.50	100x80x2.50	100	80	2.5
100x80x3.00	100x80x3.00	100	80	3
100x80x4.00	100x80x4.00	100	80	4
100x80x5.00	100x80x5.00	100	80	5
120x40x2.50	120x40x2.50	120	40	2.5
120x40x3.00	120x40x3.00	120	40	3
120x40x4.00	120x40x4.00	120	40	4
120x60x2.50	120x60x2.50	120	60	2.5
120x60x3.00	120x60x3.00	120	60	3
120x60x4.00	120x60x4.00	120	60	4
120x60x5.00	120x60x5.00	120	60	5
120x80x2.50	120x80x2.50	120	80	2.5
120x80x3.00	120x80x3.00	120	80	3
120x80x4.00	120x80x4.00	120	80	4
120x80x5.00	120x80x5.00	120	80	5
120x80x6.00	120x80x6.00	120	80	6
140x80x3.00	140x80x3.00	140	80	3
140x80x4.00	140x80x4.00	140	80	4
140x80x5.00	140x80x5.00	140	80	5
140x80x6.00	140x80x6.00	140	80	6
140x80x8.00	140x80x8.00	140	80	8
140x100x4.00	140x100x4.00	140	100	4
140x100x5.00	140x100x5.00	140	100	5
140x100x6.00	140x100x6.00	140	100	6
140x100x8.00	140x100x8.00	140	100	8
140x120x4.00	140x120x4.00	140	120	4
140x120x5.00	140x120x5.00	140	120	5
140x120x6.00	140x120x6.00	140	120	6
140x120x8.00	140x120x8.00	140	120	8
150x100x4.00	150x100x4.00	150	100	4
150x100x5.00	150x100x5.00	150	100	5
150x100x6.00	150x100x6.00	150	100	6
150x100x8.00	150x100x8.00	150	100	8
160x80x4.00	160x80x4.00	160	80	4
160x80x5.00	160x80x5.00	160	80	5
160x80x6.00	160x80x6.00	160	80	6
160x80x8.00	160x80x8.00	160	80	8
160x100x4.00	160x100x4.00	160	100	4
160x100x5.00	160x100x5.00	160	100	5
160x100x6.00	160x100x6.00	160	100	6
160x100x8.00	160x100x8.00	160	100	8
160x120x4.00	160x120x4.00	160	120	4
160x120x5.00	160x120x5.00	160	120	5
160x120x6.00	160x120x6.00	160	120	6
160x120x8.00	160x120x8.00	160	120	8
180x80x4.00	180x80x4.00	180	80	4
180x80x5.00	180x80x5.00	180	80	5
180x80x6.00	180x80x6.00	180	80	6
180x80x8.00	180x80x8.00	180	80	8
180x100x3.00	180x100x3.00	180	100	3
180x100x4.00	180x100x4.00	180	100	4
180x100x5.00	180x100x5.00	180	100	5
180x100x6.00	180x100x6.00	180	100	6
180x100x8.00	180x100x8.00	180	100	8
180x120x3.00	180x120x3.00	180	120	3
180x120x4.00	180x120x4.00	180	120	4
180x120x5.00	180x120x5.00	180	120	5
180x120x6.00	180x120x6.00	180	120	6
180x120x8.00	180x120x8.00	180	120	8
200x80x4.00	200x80x4.00	200	80	4
200x80x5.00	200x80x5.00	200	80	5
200x80x6.00	200x80x6.00	200	80	6
200x80x8.00	200x80x8.00	200	80	8
200x100x4.0	200x100x4.0	200	100	4
200x100x5.0	200x100x5.0	200	100	5
200x100x6.0	200x100x6.0	200	100	6
200x100x8.0	200x100x8.0	200	100	8
200x120x4.0	200x120x4.0	200	120	4
200x120x5.0	200x120x5.0	200	120	5
200x120x6.0	200x120x6.0	200	120	6
200x120x8.0	200x120x8.0	200	120	8
200x150x4.0	200x150x4.0	200	150	4
200x150x5.0	200x150x5.0	200	150	5
200x150x6.0	200x150x6.0	200	150	6
200x150x8.0	200x150x8.0	200	150	8
200x160x4.0	200x160x4.0	200	160	4
200x160x5.0	200x160x5.0	200	160	5
200x160x6.0	200x160x6.0	200	160	6
200x160x8.0	200x160x8.0	200	160	8
250x100x4.0	250x100x4.0	250	100	4
250x100x5.0	250x100x5.0	250	100	5
250x100x6.0	250x100x6.0	250	100	6
250x100x8.0	250x100x8.0	250	100	8
250x150x4.0	250x150x4.0	250	150	4
250x150x5.0	250x150x5.0	250	150	5
250x150x6.0	250x150x6.0	250	150	6
250x150x8.0	250x150x8.0	250	150	8
300x100x4.0	300x100x4.0	300	100	4
300x100x5.0	300x100x5.0	300	100	5
300x100x6.0	300x100x6.0	300	100	6
300x100x8.0	300x100x8.0	300	100	8
END_SUBTABLE

