!---------------------------------------------------------------------
!	Œruba imbusowa
!
!	Sruba imbusowa z poglebieniem szesciokatnym
!	Zylinderschraube mit Innensechkant
!---------------------------------------------------------------------
			
SCREWTYPE	1
UNIT	MM

SURFACE	83
AXIS	118
CBSCR	PN-EN_ISO_4762
INFO	Œruba imbusowa

SYMBOL	STRING	DN	LG	B	S	DK	K	DG	P	
INSTANCE	STRING	DN	LG	B	S	DK	K	DG	P	

SIM14x120	M14	14	120	44	14	24	16	14	2
SIM14x130	M14	14	130	44	14	24	16	14	2
SIM14x140	M14	14	140	44	14	24	16	14	2

SIM16x25	M16	16	25	25	14	24	16	14	2
SIM16x30	M16	16	30	30	14	24	16	14	2
SIM16x35	M16	16	35	35	14	24	16	14	2
SIM16x40	M16	16	40	40	14	24	16	14	2
SIM16x45	M16	16	45	44	14	24	16	14	2
SIM16x50	M16	16	50	44	14	24	16	14	2
SIM16x55	M16	16	55	44	14	24	16	14	2
SIM16x60	M16	16	60	44	14	24	16	14	2
SIM16x65	M16	16	65	44	14	24	16	14	2
SIM16x70	M16	16	70	44	14	24	16	14	2
SIM16x80	M16	16	80	44	14	24	16	14	2
SIM16x90	M16	16	90	44	14	24	16	14	2
SIM16x100	M16	16	100	44	14	24	16	14	2
SIM16x110	M16	16	110	44	14	24	16	14	2
SIM16x120	M16	16	120	44	14	24	16	14	2
SIM16x130	M16	16	130	44	14	24	16	14	2
SIM16x140	M16	16	140	44	14	24	16	14	2
SIM16x150	M16	16	150	44	14	24	16	14	2
SIM16x160	M16	16	160	44	14	24	16	14	2
												
SIM20x30	M20	20	30	30	17	30	20	17.5	2.5
SIM20x35	M20	20	35	35	17	30	20	17.5	2.5
SIM20x40	M20	20	40	40	17	30	20	17.5	2.5
SIM20x45	M20	20	45	45	17	30	20	17.5	2.5
SIM20x50	M20	20	50	50	17	30	20	17.5	2.5
SIM20x55	M20	20	55	52	17	30	20	17.5	2.5
SIM20x60	M20	20	60	52	17	30	20	17.5	2.5
SIM20x65	M20	20	65	52	17	30	20	17.5	2.5
SIM20x70	M20	20	70	52	17	30	20	17.5	2.5
SIM20x80	M20	20	80	52	17	30	20	17.5	2.5
SIM20x90	M20	20	90	52	17	30	20	17.5	2.5
SIM20x100	M20	20	100	52	17	30	20	17.5	2.5
SIM20x110	M20	20	110	52	17	30	20	17.5	2.5
SIM20x120	M20	20	120	52	17	30	20	17.5	2.5
SIM20x130	M20	20	130	52	17	30	20	17.5	2.5
SIM20x140	M20	20	140	52	17	30	20	17.5	2.5
SIM20x150	M20	20	150	52	17	30	20	17.5	2.5
SIM20x160	M20	20	160	52	17	30	20	17.5	2.5
SIM20x180	M20	20	180	52	17	30	20	17.5	2.5
SIM20x200	M20	20	200	52	17	30	20	17.5	2.5
												
SIM24x40	M24	24	40	40	19	36	24	21	3
SIM24x45	M24	24	45	45	19	36	24	21	3
SIM24x50	M24	24	50	50	19	36	24	21	3
SIM24x55	M24	24	55	55	19	36	24	21	3
SIM24x60	M24	24	60	60	19	36	24	21	3
SIM24x65	M24	24	65	60	19	36	24	21	3
SIM24x70	M24	24	70	60	19	36	24	21	3
SIM24x80	M24	24	80	60	19	36	24	21	3
SIM24x90	M24	24	90	60	19	36	24	21	3
SIM24x100	M24	24	100	60	19	36	24	21	3
SIM24x110	M24	24	110	60	19	36	24	21	3
SIM24x120	M24	24	120	60	19	36	24	21	3
SIM24x130	M24	24	130	60	19	36	24	21	3
SIM24x140	M24	24	140	60	19	36	24	21	3
SIM24x150	M24	24	150	60	19	36	24	21	3
SIM24x160	M24	24	160	60	19	36	24	21	3
SIM24x180	M24	24	180	60	19	36	24	21	3
SIM24x200	M24	24	200	60	19	36	24	21	3
												
SIM30x45	M30	30	45	45	22	45	30	26.5	3.5
SIM30x50	M30	30	50	50	22	45	30	26.5	3.5
SIM30x55	M30	30	55	55	22	45	30	26.5	3.5
SIM30x60	M30	30	60	60	22	45	30	26.5	3.5
SIM30x65	M30	30	65	65	22	45	30	26.5	3.5
SIM30x70	M30	30	70	70	22	45	30	26.5	3.5
SIM30x80	M30	30	80	72	22	45	30	26.5	3.5
SIM30x90	M30	30	90	72	22	45	30	26.5	3.5
SIM30x100	M30	30	100	72	22	45	30	26.5	3.5
SIM30x110	M30	30	110	72	22	45	30	26.5	3.5
SIM30x120	M30	30	120	72	22	45	30	26.5	3.5
SIM30x130	M30	30	130	72	22	45	30	26.5	3.5
SIM30x140	M30	30	140	72	22	45	30	26.5	3.5
SIM30x150	M30	30	150	72	22	45	30	26.5	3.5
SIM30x160	M30	30	160	72	22	45	30	26.5	3.5
SIM30x180	M30	30	180	72	22	45	30	26.5	3.5
SIM30x200	M30	30	200	72	22	45	30	26.5	3.5
												

