!---------------------------------------------------------------------
!	Œruba szeœciok¹tna
!
!	Sruba szesciokatna z gwintem pelnym
!	Zylinderschraube mit Innensechkant
!---------------------------------------------------------------------
			
SCREWTYPE	1
UNIT	MM

SURFACE	233
AXIS	264
CBSCR	PN-EN_ISO_4017
INFO	Œruba szesciokatna

SYMBOL		STRING	DN	LG	B	P	
INSTANCE	STRING	DN	LG	B	P	

SM16x30		M16	16	30	28	2
SM16x35		M16	16	35	33	2
SM16x40		M16	16	40	38	2
SM16x45		M16	16	45	43	2
SM16x50		M16	16	50	48	2
SM16x55		M16	16	55	53	2
SM16x60		M16	16	60	58	2
SM16x65		M16	16	65	63	2
SM16x70		M16	16	70	68	2
SM16x80		M16	16	80	78	2
SM16x90		M16	16	90	88	2
SM16x100	M16	16	100	98	2
SM16x110	M16	16	110	108	2
SM16x120	M16	16	120	118	2
SM16x130	M16	16	130	128	2
SM16x140	M16	16	140	138	2
SM16x150	M16	16	150	148	2
												
SM18x16		M18	18	16	14.5	2.5
SM18x20		M18	18	20	17.5	2.5
SM18x25		M18	18	25	22.5	2.5
SM18x30		M18	18	30	27.5	2.5
SM18x35		M18	18	35	32.5	2.5
SM18x40		M18	18	40	37.5	2.5
SM18x45		M18	18	45	42.5	2.5
SM18x50		M18	18	50	47.5	2.5
SM18x55		M18	18	55	52.5	2.5
SM18x60		M18	18	60	57.5	2.5
SM18x65		M18	18	65	62.5	2.5
SM18x70		M18	18	70	67.5	2.5
SM18x80		M18	18	80	77.5	2.5
SM18x90		M18	18	90	87.5	2.5
SM18x100	M18	18	100	97.5	2.5
SM18x110	M18	18	110	107.5	2.5
SM18x120	M18	18	120	117.5	2.5
SM18x130	M18	18	130	127.5	2.5
SM18x140	M18	18	140	137.5	2.5
SM18x150	M18	18	150	147.5	2.5
SM18x160	M18	18	160	157.5	2.5
SM18x180	M18	18	180	177.5	2.5
SM18x200	M18	18	200	197.5	2.5

SM20x16		M20	20	16	14.5	2.5
SM20x20		M20	20	20	17.5	2.5
SM20x25		M20	20	25	22.5	2.5
SM20x30		M20	20	30	27.5	2.5
SM20x35		M20	20	35	32.5	2.5
SM20x40		M20	20	40	37.5	2.5
SM20x45		M20	20	45	42.5	2.5
SM20x50		M20	20	50	47.5	2.5
SM20x55		M20	20	55	52.5	2.5
SM20x60		M20	20	60	57.5	2.5
SM20x65		M20	20	65	62.5	2.5
SM20x70		M20	20	70	67.5	2.5
SM20x80		M20	20	80	77.5	2.5
SM20x90		M20	20	90	87.5	2.5
SM20x100	M20	20	100	97.5	2.5
SM20x110	M20	20	110	107.5	2.5
SM20x120	M20	20	120	117.5	2.5
SM20x130	M20	20	130	127.5	2.5
SM20x140	M20	20	140	137.5	2.5
SM20x150	M20	20	150	147.5	2.5
SM20x160	M20	20	160	157.5	2.5
SM20x180	M20	20	180	177.5	2.5
SM20x200	M20	20	200	197.5	2.5

SM22x16		M22	22	16	14.5	2.5
SM22x20		M22	22	20	17.5	2.5
SM22x25		M22	22	25	22.5	2.5
SM22x30		M22	22	30	27.5	2.5
SM22x35		M22	22	35	32.5	2.5
SM22x40		M22	22	40	37.5	2.5
SM22x45		M22	22	45	42.5	2.5
SM22x50		M22	22	50	47.5	2.5
SM22x55		M22	22	55	52.5	2.5
SM22x60		M22	22	60	57.5	2.5
SM22x65		M22	22	65	62.5	2.5
SM22x70		M22	22	70	67.5	2.5
SM22x80		M22	22	80	77.5	2.5
SM22x90		M22	22	90	87.5	2.5
SM22x100	M22	22	100	97.5	2.5
SM22x110	M22	22	110	107.5	2.5
SM22x120	M22	22	120	117.5	2.5
SM22x130	M22	22	130	127.5	2.5
SM22x140	M22	22	140	137.5	2.5
SM22x150	M22	22	150	147.5	2.5
SM22x160	M22	22	160	157.5	2.5
SM22x180	M22	22	180	177.5	2.5
SM22x200	M22	22	200	197.5	2.5
												
SM24x16		M24	24	16	13	3
SM24x20		M24	24	20	17	3
SM24x25		M24	24	25	22	3
SM24x30		M24	24	30	27	3
SM24x35		M24	24	35	32	3
SM24x40		M24	24	40	37	3
SM24x45		M24	24	45	42	3
SM24x50		M24	24	50	47	3
SM24x55		M24	24	55	52	3
SM24x60		M24	24	60	57	3
SM24x65		M24	24	65	62	3
SM24x70		M24	24	70	67	3
